   0.00000   0.92777
   0.01000   0.96611
   0.02000   0.98061
   0.03000   0.98862
   0.04000   0.99498
   0.05000   0.99212
   0.06000   0.99054
   0.07000   0.98896
   0.08000   0.99057
   0.09000   0.99968
   0.10000   0.98970
   0.11000   0.95671
   0.12000   0.92680
   0.13000   0.89779
   0.14000   0.85916
   0.15000   0.82573
   0.16000   0.79513
   0.17000   0.77022
   0.18000   0.74786
   0.19000   0.71786
   0.20000   0.65696
   0.21000   0.60146
   0.22000   0.53999
   0.23000   0.47427
   0.24000   0.38911
   0.25000   0.31888
   0.26000   0.24739
   0.27000   0.19140
   0.28000   0.15223
   0.29000   0.11035
   0.30000   0.07163
   0.31000   0.04062
   0.32000   0.03752
   0.33000   0.02959
   0.34000   0.01594
   0.35000   0.01106
   0.36000   0.00005
   0.37000  -0.00237
   0.38000   0.00129
   0.39000   0.00951
   0.40000   0.01083
   0.41000  -0.00699
   0.42000  -0.00963
   0.43000  -0.00083
   0.44000   0.00088
   0.45000   0.00650
   0.46000   0.00689
   0.47000   0.00196
   0.48000  -0.00522
   0.49000  -0.01501
   0.50000  -0.00472
   0.51000   0.01250
   0.52000   0.00965
   0.53000   0.00414
   0.54000   0.00086
   0.55000  -0.00771
   0.56000  -0.01105
   0.57000  -0.01044
   0.58000  -0.00270
   0.59000   0.01645
   0.60000   0.02040
   0.61000   0.00517
   0.62000  -0.00322
   0.63000  -0.00705
   0.64000  -0.01693
   0.65000  -0.01814
   0.66000  -0.01321
   0.67000   0.00061
   0.68000   0.02003
   0.69000   0.03467
   0.70000   0.02111
   0.71000   0.01545
   0.72000   0.00614
   0.73000  -0.00531
   0.74000  -0.03431
   0.75000  -0.04671
   0.76000  -0.05893
   0.77000  -0.05444
   0.78000  -0.03215
   0.79000  -0.01185
   0.80000   0.01209
   0.81000   0.04398
   0.82000   0.10376
   0.83000   0.15845
   0.84000   0.20691
   0.85000   0.26339
   0.86000   0.31275
   0.87000   0.36946
   0.88000   0.43078
   0.89000   0.49497
   0.90000   0.55034
   0.91000   0.58445
   0.92000   0.63139
   0.93000   0.68725
   0.94000   0.73331
   0.95000   0.78038
   0.96000   0.81917
   0.97000   0.84943
   0.98000   0.87409
   0.99000   0.89268
